Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
D007,51,1.19129,0.269104,D7_10uM,compound,7,D,1.21467,1.65689
D008,194,1.09008,0.247721,D8_10uM,compound,8,D,1.00562,0.561606
D009,262,1.03928,0.237168,D9_10uM,compound,9,D,0.900706,0.0119003
D010,286,0.983004,0.255218,D10_10uM,compound,10,D,0.78447,-0.597106
D011,263,1.09719,0.281032,D11_10uM,compound,11,D,1.02031,0.638562
D012,266,1.04936,0.26445,D12_10uM,compound,12,D,0.921529,0.121001
D013,192,1.06512,0.257685,D13_10uM,compound,13,D,0.95407,0.291492
D014,315,0.942974,0.258418,D14_10uM,compound,14,D,0.701791,-1.03029
D015,328,1.13921,0.329283,D15_10uM,compound,15,D,1.10711,1.09331
D016,160,1.00641,0.26804,D16_10uM,compound,16,D,0.832813,-0.343818
D017,245,1.08924,0.270709,D17_10uM,compound,17,D,1.00389,0.552508
D018,256,1.05015,0.266611,D18_10uM,compound,18,D,0.923156,0.129525
D019,241,1.12242,0.26454,D19_10uM,compound,19,D,1.07242,0.911573
D020,193,1.0221,0.256168,D20_10uM,compound,20,D,0.865229,-0.173979
D021,230,1.1213,0.261342,D21_10uM,compound,21,D,1.07012,0.8995
D022,196,1.0552,0.231013,D22_10uM,compound,22,D,0.933586,0.18417
D023,105,0.62085,0.171266,GDC0941_1uM,pos.akt,23,D,0.0364756,-4.51615
D024,105,1.01116,0.309818,DMSO_1E-3,neg,24,D,0.842625,-0.292409
E001,221,1.09091,0.272229,E1_10uM,compound,1,E,1.00733,0.570568
E002,461,0.862379,0.25173,E2_10uM,compound,2,E,0.535331,-1.90245
E003,262,1.04707,0.272405,E3_10uM,compound,3,E,0.916785,0.0961412
E004,292,1.10622,0.252271,E4_10uM,compound,4,E,1.03896,0.736245
E005,229,1.11242,0.260284,E5_10uM,compound,5,E,1.05176,0.80335
E006,330,1.07384,0.272367,E6_10uM,compound,6,E,0.972085,0.38588
E007,307,1.12494,0.26107,E7_10uM,compound,7,E,1.07762,0.938842
E008,346,1.02558,0.241498,E8_10uM,compound,8,E,0.872406,-0.136377
E009,261,1.04834,0.258664,E9_10uM,compound,9,E,0.919416,0.109925
E010,210,1.03581,0.270708,E10_10uM,compound,10,E,0.89354,-0.0256486
E011,384,1.13027,0.266835,E11_10uM,compound,11,E,1.08864,0.996583
E012,375,1.09807,0.27113,E12_10uM,compound,12,E,1.02213,0.648104
E013,445,1.06298,0.25598,E13_10uM,compound,13,E,0.949646,0.268315
E014,464,1.03117,0.264583,E14_10uM,compound,14,E,0.883953,-0.0758776
E015,398,1.09931,0.259839,E15_10uM,compound,15,E,1.02468,0.661454
E016,291,1.03805,0.257116,E16_10uM,compound,16,E,0.898164,-0.00141914
E017,218,1.09511,0.28041,E17_10uM,compound,17,E,1.01601,0.616017
E018,288,1.03347,0.238152,E18_10uM,compound,18,E,0.888701,-0.0509994
E019,251,1.02699,0.242012,E19_10uM,compound,19,E,0.875319,-0.121113
E020,328,1.07481,0.293993,E20_10uM,compound,20,E,0.974084,0.396356
