Image_Metadata_Well,CNfrac_akt.ncells,CNfrac_akt.mn,CNfrac_akt.sd,comp.conc,well.type,Col,Row,npi,zscore
N022,267,1.08902,0.256724,N22_10uM,compound,22,N,1.00344,0.550148
N023,385,0.818097,0.197472,Cobimetinib_200nM,pos.erk,23,N,0.44387,-2.38164
N024,226,1.07365,0.2513,DMSO_1E-3,neg,24,N,0.971701,0.383869
O001,367,1.12366,0.254517,O1_10uM,compound,1,O,1.07497,0.924953
O002,393,1.0367,0.273011,O2_10uM,compound,2,O,0.895383,-0.0159882
O003,315,1.04463,0.288797,O3_10uM,compound,3,O,0.911752,0.0697749
O004,371,1.02523,0.264869,O4_10uM,compound,4,O,0.871685,-0.140155
O005,347,1.02146,0.239221,O5_10uM,compound,5,O,0.863906,-0.180911
O006,382,1.10931,0.255157,O6_10uM,compound,6,O,1.04535,0.769763
O007,390,1.07928,0.249125,O7_10uM,compound,7,O,0.983325,0.444775
O008,447,1.07585,0.279052,O8_10uM,compound,8,O,0.976242,0.407659
O009,402,1.08466,0.282102,O9_10uM,compound,9,O,0.99444,0.503008
O010,368,0.916262,0.259286,O10_10uM,compound,10,O,0.64662,-1.31936
O011,282,1.07878,0.304317,O11_10uM,compound,11,O,0.982282,0.439308
O012,304,1.08295,0.267866,O12_10uM,compound,12,O,0.990893,0.484423
O013,416,0.974011,0.276622,O13_10uM,compound,13,O,0.765896,-0.694424
O014,338,1.03685,0.282386,O14_10uM,compound,14,O,0.895685,-0.0144082
O015,171,1.08157,0.279259,O15_10uM,compound,15,O,0.988051,0.469533
O016,269,1.10452,0.29803,O16_10uM,compound,16,O,1.03545,0.717901
O017,242,0.991551,0.250384,O17_10uM,compound,17,O,0.802124,-0.504611
O018,301,1.09913,0.268736,O18_10uM,compound,18,O,1.02431,0.659532
O019,304,1.0383,0.270812,O19_10uM,compound,19,O,0.898682,0.00129448
O020,346,1.08282,0.266457,O20_10uM,compound,20,O,0.990627,0.483031
O021,206,1.01672,0.252977,O21_10uM,compound,21,O,0.854114,-0.232216
O022,239,1.05719,0.282704,O22_10uM,compound,22,O,0.937697,0.205707
O023,584,0.796935,0.202719,Cobimetinib_200nM,pos.erk,23,O,0.400162,-2.61065
O024,273,1.02089,0.288858,DMSO_1E-3,neg,24,O,0.862723,-0.187107
P001,296,1.0615,0.260354,P1_10uM,compound,1,P,0.946595,0.252331
P002,217,0.611747,0.201605,P2_10uM,compound,2,P,0.0176727,-4.61466
P003,317,0.987794,0.260435,P3_10uM,compound,3,P,0.794365,-0.545266
P004,372,0.775078,0.231795,P4_10uM,compound,4,P,0.355018,-2.84718
P005,258,1.08378,0.279817,P5_10uM,compound,5,P,0.992616,0.493454
P006,416,1.05968,0.254083,P6_10uM,compound,6,P,0.942835,0.232631
P007,332,1.08125,0.260845,P7_10uM,compound,7,P,0.98738,0.466019
P008,355,1.06964,0.296563,P8_10uM,compound,8,P,0.963414,0.340451
P009,355,1.02951,0.26751,P9_10uM,compound,9,P,0.880517,-0.0938806
P010,352,1.08648,0.277815,P10_10uM,compound,10,P,0.998181,0.522608
P011,253,0.986826,0.252201,P11_10uM,compound,11,P,0.792364,-0.555746
P012,334,1.01442,0.293622,P12_10uM,compound,12,P,0.849364,-0.2571
P013,325,0.853447,0.23196,P13_10uM,compound,13,P,0.516882,-1.99911
P014,398,1.07362,0.239789,P14_10uM,compound,14,P,0.971625,0.383474
P015,351,1.04895,0.290384,P15_10uM,compound,15,P,0.92068,0.116549
P016,400,1.06217,0.284193,P16_10uM,compound,16,P,0.947988,0.259629
P017,269,1.07168,0.274494,P17_10uM,compound,17,P,0.967618,0.362477
P018,319,0.97121,0.272529,P18_10uM,compound,18,P,0.760111,-0.724733
P019,227,0.872933,0.256728,P19_10uM,compound,19,P,0.55713,-1.78823
P020,291,1.07881,0.25702,P20_10uM,compound,20,P,0.982349,0.439659
P021,244,1.02898,0.268384,P21_10uM,compound,21,P,0.879438,-0.0995321
P022,317,1.06741,0.249072,P22_10uM,compound,22,P,0.958801,0.316283
P023,302,0.77492,0.193646,Cobimetinib_200nM,pos.erk,23,P,0.354692,-2.84888
P024,284,1.06034,0.265822,DMSO_1E-3,neg,24,P,0.944207,0.23982
